Dataset,K,Caltech (101 classes),NUS-WIDE (81 labels),MNIST (10 classes),MNIST-REG (24 tasks)
GBDTMO-Full,-,776.9003,2606.9869,362.6884,210.9613
CatBoost (multioutput),-,136.435,13857.0014,156.2955,964.1152
SketchBoost Full,-,13.8488,87.5762,46.6257,90.3452
GBDTMO-Sparse,-,1312.5386,3660.2744,399.7232,163.1199
Random Sampling,1,14.0101,43.5851,66.8061,45.6375
Random Sampling,2,14.1796,145.0915,56.0732,100.7278
Random Sampling,5,40.407,35.1068,102.8937,103.4653
Random Sampling,10,12.488,151.5597,88.9745,107.6902
Random Sampling,20,40.8565,158.718,-,112.0635
Random Projection,1,16.0879,72.6631,45.5606,38.3287
Random Projection,2,13.8744,71.8484,70.0605,38.9047
Random Projection,5,15.8034,73.2008,66.8702,51.3783
Random Projection,10,14.528,49.319,70.0668,44.1263
Random Projection,20,14.2592,48.3215,-,45.9758
