Dataset,K,Otto (9 classes),Dionis (355 classes),Helena (100 classes),SF-Crime (39 classes),MoA (206 labels),SCM20D (16 tasks),RF1 (8 tasks),Delicious (983 labels),Mediamill (101 labels)
Tabnet,-,27.2,39.4,49.6,14.8,38.2,147.2,98.4,143.4,84.6
SketchBoost Full,-,4424.8,18519.0,13492.2,3754.6,2240.6,19992.8,17001.4,6911.2,17927.4
XGBoost (one-vs-all),-,2142.0,2681.0,1563.8,1212.4,471.8,19998.0,19994.6,1611.6,1878.6
CatBoost (multioutput),-,5534.4,19858.8,11238.2,3993.6,4239.0,19998.0,19999.0,3956.0,8983.2
Top Outputs,1,7654.8,17338.8,15042.0,3467.6,3813.6,19998.2,17787.6,7693.6,18623.8
Top Outputs,2,7022.8,16747.4,14344.4,3660.0,3743.6,19983.6,17431.2,7439.0,19113.0
Top Outputs,5,4799.2,16847.0,13611.8,3457.6,3613.2,19992.4,16102.8,7068.4,18447.0
Top Outputs,10,-,16779.4,11975.2,3699.6,2831.6,19996.6,-,7085.6,17845.4
Top Outputs,20,-,17039.4,11985.6,3790.2,2606.2,-,-,7063.2,17288.2
Random Sampling,1,5937.2,17983.8,16975.6,3915.8,6161.8,19994.6,17230.8,8134.2,19961.6
Random Sampling,2,5424.4,17491.6,16823.4,3809.6,6764.6,19991.6,17515.0,7838.6,19971.6
Random Sampling,5,4866.0,17799.4,16812.2,3798.4,6984.8,19991.8,17076.2,8007.2,19978.6
Random Sampling,10,-,17860.0,17030.4,3740.8,6288.2,19992.8,-,7994.0,19976.0
Random Sampling,20,-,17990.4,16232.4,3726.2,5542.6,-,-,8015.0,19955.2
Random Projection,1,5201.4,11509.6,11549.0,3697.8,2169.6,19994.4,16902.6,7611.4,18074.4
Random Projection,2,4734.0,11486.0,11670.2,3679.2,2121.8,19993.6,16815.2,7787.6,18057.0
Random Projection,5,4606.6,12311.0,11701.2,3620.4,2109.6,19993.4,16766.8,7613.0,17826.6
Random Projection,10,-,13060.2,12087.2,3664.6,2094.4,19987.6,-,7432.2,17654.6
Random Projection,20,-,13672.6,12422.6,3611.4,2093.0,-,-,7541.6,17500.0
